Id;ActivityDate;TotalSteps;TotalDistance;TrackerDistance;LoggedActivitiesDistance;VeryActiveDistance;ModeratelyActiveDistance;LightActiveDistance;SedentaryActiveDistance;VeryActiveMinutes;FairlyActiveMinutes;LightlyActiveMinutes;SedentaryMinutes;Calories
1503960366;3/25/2016;11004;71.100.001.335.144;71.100.001.335.144;0;25.699.999.332.428;0.46000000834465;407.000.017.166.138;0;33;12;205;804;1819
1503960366;3/26/2016;17609;115.500.001.907.349;115.500.001.907.349;0;692.000.007.629.395;0.730000019073486;391.000.008.583.069;0;89;17;274;588;2154
1503960366;3/27/2016;12736;852.999.973.297.119;852.999.973.297.119;0;465.999.984.741.211;0.159999996423721;371.000.003.814.697;0;56;5;268;605;1944
1503960366;3/28/2016;13231;893.000.030.517.578;893.000.030.517.578;0;319.000.005.722.046;0.790000021457672;494.999.980.926.514;0;39;20;224;1080;1932
1503960366;3/29/2016;12041;784.999.990.463.257;784.999.990.463.257;0;216.000.008.583.069;10.900.000.333.786;46.100.001.335.144;0;28;28;243;763;1886
1503960366;3/30/2016;10970;715.999.984.741.211;715.999.984.741.211;0;235.999.989.509.583;0.509999990463257;428.999.996.185.303;0;30;13;223;1174;1820
1503960366;3/31/2016;12256;78.600.001.335.144;78.600.001.335.144;0;228.999.996.185.303;0.490000009536743;503.999.996.185.303;0;33;12;239;820;1889
1503960366;04/01/2016;12262;786.999.988.555.908;786.999.988.555.908;0;33.199.999.332.428;0.829999983310699;364.000.010.490.417;0;47;21;200;866;1868
1503960366;04/02/2016;11248;7.25;7.25;0;3;0.449999988079071;374.000.000.953.674;0;40;11;244;636;1843
1503960366;04/03/2016;10016;636.999.988.555.908;636.999.988.555.908;0;0.910000026226044;127.999.997.138.977;417.999.982.833.862;0;15;30;314;655;1850
1503960366;04/04/2016;14557;980.000.019.073.486;980.000.019.073.486;0;339.000.010.490.417;0.699999988079071;569.000.005.722.046;0;43;18;285;757;2030
1503960366;04/05/2016;14844;972.999.954.223.633;972.999.954.223.633;0;294.000.005.722.046;0.759999990463257;603.999.996.185.303;0;36;18;341;736;2083
1503960366;04/06/2016;11974;767.000.007.629.395;767.000.007.629.395;0;203.999.996.185.303;0.479999989271164;515.000.009.536.743;0;27;12;228;1173;1861
1503960366;04/07/2016;10198;644.000.005.722.046;644.000.005.722.046;0;120.000.004.768.372;0.790000021457672;444.999.980.926.514;0;17;20;195;1208;1755
1503960366;04/08/2016;12521;794.000.005.722.046;794.000.005.722.046;0;330.999.994.277.954;0.899999976158142;374.000.000.953.674;0;46;22;212;1160;1895
1503960366;04/09/2016;12432;810.000.038.146.973;810.000.038.146.973;0;258.999.991.416.931;0.589999973773956;492.000.007.629.395;0;32;15;248;738;1883
1503960366;04/10/2016;10057;698.000.001.907.349;698.000.001.907.349;0;4;0.490000009536743;248.000.001.907.349;0;44;13;168;737;1755
1503960366;04/11/2016;10990;726.000.022.888.184;726.000.022.888.184;0;203.999.996.185.303;0.569999992847443;465.000.009.536.743;0;26;14;216;855;1811
1503960366;04/12/2016;224;0.140000000596046;0.140000000596046;0;0;0;0.129999995231628;0;0;0;9;32;50
1624580081;3/25/2016;1810;117.999.994.754.791;117.999.994.754.791;0;0;0;112.999.999.523.163;0.00999999977648258;0;0;121;1319;1373
1624580081;3/26/2016;815;0.529999971389771;0.529999971389771;0;0;0;0.529999971389771;0;0;0;47;1393;1264
1624580081;3/27/2016;1985;128.999.996.185.303;128.999.996.185.303;0;0;0;127.999.997.138.977;0.00999999977648258;0;0;112;1328;1350
1624580081;3/28/2016;1905;124.000.000.953.674;124.000.000.953.674;0;0;0;124.000.000.953.674;0;0;0;95;1345;1342
1624580081;3/29/2016;1552;100.999.999.046.326;100.999.999.046.326;0;0;0;1;0;0;0;66;1374;1300
1624580081;3/30/2016;1675;10.900.000.333.786;10.900.000.333.786;0;0;0;10.900.000.333.786;0;0;0;84;1356;1313
1624580081;3/31/2016;4506;29.300.000.667.572;29.300.000.667.572;0;0.509999990463257;0.270000010728836;215.000.009.536.743;0.00999999977648258;7;4;144;1285;1498
1624580081;04/01/2016;9218;598.999.977.111.816;598.999.977.111.816;0;0;0;596.999.979.019.165;0.00999999977648258;0;0;221;1219;1541
